district,name,party,incumbent,winner,raised,spent,state
IN02,Pat Hackett ,D,False,False,881888,867301,Indiana
IN03,Jim Banks ,R,True,True,1202509,769591,Indiana
IN03,Chip Coldiron ,D,False,False,94056,89883,Indiana
IN04,Jim Baird ,R,True,True,327727,190158,Indiana
IN04,Joe Mackey ,D,False,False,44585,43213,Indiana
IN05,Christina Hale ,D,False,False,4010368,3998905,Indiana
IN05,Victoria Spartz ,R,False,True,3119328,3010203,Indiana
IN06,Greg Pence ,R,True,True,3114448,2804148,Indiana
IN06,Jeannine Lee Lake ,D,False,False,143089,145315,Indiana
IN07,Andre Carson ,D,True,True,1011635,873962,Indiana
IN07,Susan Marie Smith ,R,False,False,62905,59843,Indiana
IN08,Larry Bucshon ,R,True,True,1051336,1078646,Indiana
IN08,Thomasina Marsili ,D,False,False,68734,68480,Indiana
IN09,Trey Hollingsworth ,R,True,True,1166754,501136,Indiana
IN09,Andy Ruff ,D,False,False,148263,134906,Indiana
IN09,Tonya Millis ,L,False,False,10224,10041,Indiana
IA01,Abby Finkenauer ,D,True,False,5901441,5875405,Iowa
IA01,Ashley Hinson ,R,False,True,5175883,5059211,Iowa
IA02,Rita Hart ,D,False,False,4232992,4114400,Iowa
IA02,Mariannette Miller-Meeks ,R,False,True,2174194,1721926,Iowa
IA03,Cindy Axne ,D,True,True,6236976,6236994,Iowa
IA03,David Young ,R,False,False,3170072,3094582,Iowa
IA04,J.D. Scholten ,D,False,False,2885915,2902003,Iowa
IA04,Randy Feenstra ,R,False,True,1906234,1894288,Iowa
KS01,Tracey Mann ,R,False,True,1403353,1127156,Kansas
KS01,Kali Barnett ,D,False,False,603036,592924,Kansas
KS02,Michelle De La Isla ,D,False,False,1825085,1810968,Kansas
KS02,Jake Laturner ,R,False,True,1593407,1578460,Kansas
KS03,Sharice Davids ,D,True,True,5638552,5168034,Kansas
KS03,Amanda Adkins ,R,False,False,2182382,2139673,Kansas
KS04,Ron Estes ,R,True,True,1993808,1420188,Kansas
KS04,Laura Lombard ,D,False,False,264459,258684,Kansas
KY01,James Comer ,R,True,True,736116,502554,Kentucky
KY02,Brett Guthrie ,R,True,True,1412797,1566622,Kentucky
KY02,Hank Linderman ,D,False,False,93388,71122,Kentucky
KY02,Robert Lee Perry ,L,False,False,12798,7825,Kentucky
KY03,John Yarmuth ,D,True,True,658295,690226,Kentucky
KY03,Rhonda Palazzo ,R,False,False,46144,45668,Kentucky
KY04,Thomas Massie ,R,True,True,1457316,1563275,Kentucky
KY04,Alexandra Owensby ,D,False,False,156174,106359,Kentucky
KY05,Hal Rogers ,R,True,True,664168,835781,Kentucky
KY06,Andy Barr ,R,True,True,4536264,4316239,Kentucky
KY06,Josh Hicks ,D,False,False,2936320,2935615,Kentucky
LA01,Steve Scalise ,R,True,True,37262827,32830607,Louisiana
LA02,Cedric Richmond ,D,True,True,1628289,1302079,Louisiana
LA03,Clay Higgins ,R,True,True,751498,720424,Louisiana
LA03,Robert Jon Anderson ,D,False,False,63617,48015,Louisiana
LA03,Braylon Harris ,D,False,False,23006,15130,Louisiana
LA04,Mike Johnson ,R,True,True,1299787,1039393,Louisiana
LA04,Kenny Houston ,D,False,False,33677,33407,Louisiana
LA05,Luke Letlow ,R,False,False,1392822,1303757,Louisiana
LA05,Lance Harris ,R,False,False,696805,687833,Louisiana
LA05,Martin Lemelle ,D,False,False,173796,162747,Louisiana
LA05,Scotty Robinson ,R,False,False,113903,113835,Louisiana
LA05,Candy Christophe ,D,False,False,77101,131161,Louisiana
LA05,Phillip Snowden ,D,False,False,29481,28077,Louisiana
LA05,Matthew Hasty ,R,False,False,2654,2615,Louisiana
LA06,Garret Graves ,R,True,True,1743015,1200287,Louisiana
LA06,Dartanyon Williams ,D,False,False,111316,98114,Louisiana
ME01,Chellie Pingree ,D,True,True,487080,264790,Maine
ME01,Jay Allen ,R,False,False,79585,69853,Maine
ME02,Jared Golden ,D,True,True,5272142,5233990,Maine
ME02,Dale Crafts ,R,False,False,1199805,1196117,Maine
MD01,Andy Harris ,R,True,True,1468096,973953,Maryland
MD01,Mia Mason ,D,False,False,2524,0,Maryland
MD02,Dutch Ruppersberger ,D,True,True,1012835,927353,Maryland
MD02,Johnny Ray Salling ,R,False,False,68320,66895,Maryland
MD03,John Sarbanes ,D,True,True,573599,687299,Maryland
MD03,Charles Anthony ,R,False,False,7798,6742,Maryland
MD04,Anthony Brown ,D,True,True,1446636,846827,Maryland
MD05,Steny H Hoyer ,D,True,True,4587189,4342255,Maryland
MD05,Chris Palombi ,R,False,False,43462,42095,Maryland
MD06,David Trone ,D,True,True,2944893,2959748,Maryland
MD06,Neil Parrott ,R,False,False,315936,261259,Maryland
MD07,Kweisi Mfume ,D,True,True,1014126,713389,Maryland
MD07,Kimberly Klacik ,R,False,False,8296845,7499454,Maryland
MD07,Amber Ivey ,I,False,False,41924,43394,Maryland
MD08,Jamie Raskin ,D,True,True,2072652,1399252,Maryland
MD08,Gregory Coll ,R,False,False,30876,27257,Maryland
MA01,Richard E Neal ,D,True,True,4949384,5873122,Massachusetts
MA02,James P McGovern ,D,True,True,1052549,1089412,Massachusetts
MA02,Tracy Lovvorn ,R,False,False,26311,22319,Massachusetts
MA03,Lori Trahan ,D,True,True,1449303,1232437,Massachusetts
MA04,Jake Auchincloss ,D,False,True,2608686,2150904,Massachusetts
MA04,Julie Hall ,R,False,False,131603,129378,Massachusetts
MA05,Katherine Clark ,D,True,True,1788706,1514877,Massachusetts
MA05,Caroline Colarusso ,R,False,False,148635,146972,Massachusetts
MA06,Seth Moulton ,D,True,True,1289805,1802169,Massachusetts
MA06,John Paul Moran ,R,False,False,300220,299104,Massachusetts
MA07,Ayanna Pressley ,D,True,True,2163370,1748432,Massachusetts
MA08,Stephen F Lynch ,D,True,True,905614,1134662,Massachusetts
MA09,Bill Keating ,D,True,True,708680,652448,Massachusetts
MA09,Helen Brady ,R,False,False,28233,23735,Massachusetts
MI01,John Bergman ,R,True,True,1868512,1733466,Michigan
MI01,Dana Ferguson ,D,False,False,346213,339788,Michigan
MI02,Bill Huizenga ,R,True,True,2175411,1883610,Michigan
MI02,Bryan Berghoef ,D,False,False,751576,669864,Michigan
MI02,Jean-Michel Creviere ,3,False,False,281,1207,Michigan
MI03,Hillary Scholten ,D,False,False,3793132,3765942,Michigan
MI03,Peter Meijer ,R,False,True,2975972,2887774,Michigan
MI04,John Moolenaar ,R,True,True,1528612,1036160,Michigan
MI04,Jerry Hilliard ,D,False,False,23117,23603,Michigan
MI05,Dan Kildee ,D,True,True,1669951,1504094,Michigan
MI05,Tim Kelly ,R,False,False,71106,71106,Michigan
MI06,Fred Upton ,R,True,True,3616380,3464617,Michigan
MI06,Jon Hoadley ,D,False,False,3116491,3098366,Michigan
MI07,Tim Walberg ,R,True,True,2301635,1586358,Michigan
MI07,Gretchen Driskell ,D,False,False,1712840,1712840,Michigan
MI08,Elissa Slotkin ,D,True,True,8967420,7419974,Michigan
MI08,Paul Junge ,R,False,False,2107608,2097131,Michigan
MI09,Andy Levin ,D,True,True,1316607,907237,Michigan
