,Candidate,Raised,Spent,Cash on Hand,Last Report,state,district
233,Sanford Bishop (D)  • Incumbent • Winner,"$1,540,683","$1,440,571","$192,528",12/31/2020,GA,02
234,Don Cole (R),"$164,274","$162,522","$1,752",12/31/2020,GA,02
235,Drew Ferguson (R)  • Incumbent • Winner,"$2,374,212","$2,150,911","$338,087",12/31/2020,GA,03
236,Valbrun Almonord (D),"$35,762","$31,946","$14,858",11/23/2020,GA,03
237,Hank Johnson (D)  • Incumbent • Winner,"$628,303","$490,360","$182,400",12/31/2020,GA,04
238,Johsira C. Cruz (R),"$12,954","$23,146","-$3,100",10/14/2020,GA,04
239,Nikema Williams (D)  • Winner,"$553,964","$362,801","$191,163",12/31/2020,GA,05
240,Robert Franklin (D),"$360,473","$358,394","$2,078",12/31/2020,GA,05
241,Angela Stanton-King (R),"$305,279","$301,338","$3,940",12/31/2020,GA,05
242,Kwanza Hall (D),"$239,597","$227,091","$12,505",12/31/2020,GA,05
243,Barrington Martin II (D),"$16,522","$16,517",$6,09/30/2020,GA,05
244,Chase Oliver (L),"$9,225","$5,220","$4,005",09/30/2020,GA,05
245,Steven Muhammad (I),"$3,497","-$4,965","$13,842",09/30/2020,GA,05
246,Keisha Waites (D),$875,$0,$875,05/20/2020,GA,05
247,Lucy McBath (D)  • Incumbent • Winner,"$8,507,298","$8,586,054","$139,929",12/31/2020,GA,06
248,Karen Handel (R),"$3,026,243","$3,072,932","$41,001",12/31/2020,GA,06
249,Carolyn Bourdeaux (D)  • Winner,"$5,133,244","$5,161,230","$113,948",12/31/2020,GA,07
250,Richard McCormick (R),"$2,595,446","$2,563,724","$25,914",12/31/2020,GA,07
251,Austin Scott (R)  • Incumbent • Winner,"$821,745","$716,159","$666,530",12/31/2020,GA,08
252,Jimmy Cooper (3),"$8,542","$8,528",$15,12/31/2020,GA,08
253,Lindsay Holliday (D),"$7,480","$5,220",$210,09/30/2020,GA,08
254,Andrew Clyde (R)  • Winner,"$1,569,425","$1,561,316","$8,108",12/31/2020,GA,09
255,Devin Pandy (D),"$84,272","$84,623","-$1,279",12/31/2020,GA,09
256,Jody Hice (R)  • Incumbent • Winner,"$595,947","$457,648","$249,916",12/31/2020,GA,10
257,Tabitha Johnson-Green (D),"$14,808","$12,214",-$8,12/31/2020,GA,10
258,Barry Loudermilk (R)  • Incumbent • Winner,"$877,767","$700,851","$372,832",12/31/2020,GA,11
259,Dana Barrett (D),"$404,625","$394,977","$9,648",12/31/2020,GA,11
260,Richard W Allen (R)  • Incumbent • Winner,"$1,228,970","$662,818","$646,909",12/31/2020,GA,12
261,Liz Johnson (D),"$72,061","$72,061",$0,12/31/2020,GA,12
262,David Scott (D)  • Incumbent • Winner,"$1,209,614","$1,131,746","$453,846",12/31/2020,GA,13
263,Becky Hites (R),"$63,509","$62,935",$574,12/31/2020,GA,13
264,Martin Cowen (L),"$13,460","$13,464",$80,12/31/2020,GA,13
265,Marjorie Taylor Greene (R)  • Winner,"$2,596,914","$2,237,599","$359,316",12/31/2020,GA,14
266,Ed Case (D)  • Incumbent,"$508,249","$472,569","$116,701",12/31/2020,HI,01
267,Ron Curtis (R),"$12,538","$12,647",-$109,12/31/2020,HI,01
268,Kai Kahele (D)  • Winner,"$1,235,523","$1,039,637","$195,886",12/31/2020,HI,02
269,Joe Akana (R),"$54,534","$55,344",-$810,12/31/2020,HI,02
270,Jonathan Hoomanawanui (3),"$1,883","$1,522",$585,10/14/2020,HI,02
271,Russ Fulcher (R)  • Incumbent • Winner,"$575,485","$508,457","$102,831",12/31/2020,ID,01
272,Rudy Soto (D),"$302,902","$302,902",$0,12/07/2020,ID,01
273,Mike Simpson (R)  • Incumbent • Winner,"$1,008,847","$1,099,604","$176,314",12/31/2020,ID,02
