,Candidate,Raised,Spent,Cash on Hand,Last Report,state,district
867,Doug Basler (R),"$22,536","$18,328","$4,790",12/31/2020,WA,09
868,Marilyn Strickland (D)  • Winner,"$1,812,659","$1,780,633","$32,026",12/31/2020,WA,10
869,Beth Doglio (D),"$1,477,678","$1,477,678",$0,12/31/2020,WA,10
870,David McKinley (R)  • Incumbent • Winner,"$1,092,609","$1,085,864","$393,211",12/31/2020,WV,01
871,Natalie Ms. Cline (D),"$81,032","$81,881",$0,12/15/2020,WV,01
872,Alex Mooney (R)  • Incumbent • Winner,"$2,155,978","$864,001","$2,308,154",12/31/2020,WV,02
873,Catherine Kunkel (D),"$641,567","$641,567",$0,12/04/2020,WV,02
874,Carol Miller (R)  • Incumbent • Winner,"$869,210","$720,796","$167,007",12/31/2020,WV,03
875,Hilary Turner (D),"$99,214","$98,769",$446,12/31/2020,WV,03
876,Belinda Fox-Spencer (I),"$5,207","$5,207",$0,11/23/2020,WV,03
877,Bryan Steil (R)  • Incumbent • Winner,"$3,500,849","$3,151,701","$375,503",12/31/2020,WI,01
878,Roger Polack (D),"$536,228","$526,431","$9,797",12/31/2020,WI,01
879,Mark Pocan (D)  • Incumbent • Winner,"$1,290,582","$1,014,628","$851,013",12/31/2020,WI,02
880,Peter Theron (R),"$35,753","$33,977","$4,722",12/31/2020,WI,02
881,Ron Kind (D)  • Incumbent • Winner,"$2,989,262","$4,435,403","$877,172",12/31/2020,WI,03
882,Derrick Van Orden (R),"$1,962,443","$1,948,639","$13,804",12/31/2020,WI,03
883,Gwen Moore (D)  • Incumbent • Winner,"$1,183,995","$1,166,739","$34,000",12/31/2020,WI,04
884,Scott Fitzgerald (R)  • Winner,"$1,155,721","$968,406","$187,315",12/31/2020,WI,05
885,Tom Palzewicz (D),"$370,392","$371,799",$0,12/31/2020,WI,05
886,Glenn S Grothman (R)  • Incumbent • Winner,"$1,815,756","$1,736,659","$269,431",12/31/2020,WI,06
887,Jessica King (D),"$287,753","$245,788","$41,965",12/31/2020,WI,06
888,Tom Tiffany (R)  • Incumbent • Winner,"$2,637,459","$2,514,740","$122,719",12/31/2020,WI,07
889,Tricia Zunker (D),"$1,261,957","$1,232,690","$29,267",12/31/2020,WI,07
890,Mike Gallagher (R)  • Incumbent • Winner,"$3,202,905","$2,841,801","$1,169,362",12/31/2020,WI,08
891,Amanda Stuck (D),"$416,978","$399,916","$2,165",12/31/2020,WI,08
892,Liz Cheney (R)  • Incumbent • Winner,"$3,003,883","$3,060,167","$153,567",12/31/2020,WY,01
893,Lynnette Grey Bull (D),"$134,597","$132,235","$2,363",12/31/2020,WY,01
